#sequence_separation contact_probability stderr
977 4.94531e-05 1.42078e-05
979 2.39483e-05 8.25822e-06
981 2.3931e-05 8.84248e-06
983 2.39408e-05 9.13086e-06
985 2.07472e-05 7.70586e-06
987 2.55537e-05 8.05173e-06
989 2.23593e-05 8.14475e-06
991 2.56008e-05 8.38201e-06
993 1.75723e-05 5.93029e-06
995 3.04262e-05 8.68834e-06
997 2.07773e-05 7.37701e-06
999 2.40108e-05 8.87149e-06
1001 2.56629e-05 9.55433e-06
1003 2.24027e-05 7.51018e-06
1005 1.92078e-05 6.89156e-06
1007 3.04467e-05 1.1475e-05
1009 3.36992e-05 1.18442e-05
1011 3.69859e-05 1.30456e-05
1013 2.41224e-05 8.92744e-06
1015 4.65889e-05 1.27116e-05
1017 2.57314e-05 8.73736e-06
1019 2.89528e-05 9.77067e-06
1021 3.70201e-05 1.15855e-05
1023 4.02408e-05 1.66649e-05
1025 3.3787e-05 1.12273e-05
1027 3.0597e-05 1.13415e-05
1029 2.90294e-05 1.17332e-05
1031 3.06526e-05 1.15822e-05
1033 1.7715e-05 6.40361e-06
1035 2.42306e-05 9.25477e-06
1037 2.90124e-05 9.22183e-06
1039 2.58215e-05 8.14794e-06
1041 3.05927e-05 9.30545e-06
1043 2.41468e-05 8.91918e-06
1045 3.70985e-05 9.90768e-06
1047 1.7768e-05 5.54966e-06
1049 2.90968e-05 8.6668e-06
1051 1.77518e-05 5.98966e-06
1053 2.75077e-05 9.45017e-06
1055 3.71794e-05 1.20575e-05
1057 2.10173e-05 7.80354e-06
1059 3.55588e-05 1.19966e-05
1061 2.42635e-05 7.71489e-06
1063 3.07345e-05 9.89179e-06
1065 3.23976e-05 9.72314e-06
1067 2.75454e-05 1.05224e-05
1069 1.94314e-05 6.17544e-06
1071 2.42898e-05 8.67374e-06
1073 2.91866e-05 1.24422e-05
1075 2.10704e-05 7.49273e-06
1077 3.56144e-05 1.08731e-05
1079 2.75545e-05 8.59919e-06
1081 2.58954e-05 9.63169e-06
1083 1.45919e-05 5.6577e-06
1085 1.62557e-05 6.71492e-06
1087 2.43142e-05 8.3767e-06
1089 1.78534e-05 6.44636e-06
1091 3.57173e-05 1.42482e-05
1093 3.40856e-05 1.41951e-05
1095 3.2506e-05 1.05337e-05
1097 2.11599e-05 7.16393e-06
1099 3.25669e-05 8.91231e-06
1101 3.91001e-05 1.13052e-05
1103 3.09787e-05 8.53207e-06
1105 4.40061e-05 1.1259e-05
1107 2.27903e-05 7.28431e-06
1109 1.79045e-05 6.86464e-06
1111 2.27919e-05 7.97603e-06
1113 2.12252e-05 7.17626e-06
1115 2.61499e-05 9.16665e-06
1117 2.12392e-05 6.39102e-06
1119 2.45328e-05 7.79678e-06
1121 2.77864e-05 8.96283e-06
1123 1.96043e-05 6.64481e-06
1125 2.28675e-05 8.64305e-06
1127 1.46972e-05 6.9602e-06
1129 1.96149e-05 8.42055e-06
1131 1.63518e-05 6.73688e-06
1133 2.94328e-05 1.06854e-05
1135 2.94328e-05 1.09318e-05
1137 3.60108e-05 1.07426e-05
1139 2.29389e-05 8.36319e-06
1141 2.63e-05 9.79627e-06
1143 3.44352e-05 1.06759e-05
1145 2.79148e-05 8.06915e-06
1147 3.44196e-05 1.33458e-05
1149 1.14985e-05 4.19119e-06
1151 1.80872e-05 8.02881e-06
1153 9.84747e-06 3.89776e-06
1155 1.31521e-05 4.4601e-06
1157 9.86737e-06 5.61161e-06
1159 1.48258e-05 5.75069e-06
1161 4.94645e-06 2.81268e-06
1163 1.48221e-05 6.20235e-06
1165 1.15049e-05 6.25355e-06
1167 1.80779e-05 8.01116e-06
1169 1.97739e-05 8.80817e-06
1171 1.98043e-05 7.48176e-06
1173 2.14276e-05 7.6167e-06
1175 1.64959e-05 5.4736e-06
1177 1.64812e-05 5.46928e-06
1179 1.97908e-05 6.71804e-06
1181 2.80311e-05 9.05409e-06
1183 1.98311e-05 7.49418e-06
1185 2.97218e-05 9.44797e-06
1187 1.98322e-05 7.12245e-06
1189 2.48191e-05 7.54111e-06
1191 2.14958e-05 6.46738e-06
1193 2.81566e-05 9.08599e-06
1195 2.81494e-05 9.67064e-06
1197 2.31506e-05 7.02395e-06
1199 1.98628e-05 6.31499e-06
1201 2.15549e-05 8.67134e-06
1203 9.95419e-06 4.58659e-06
1205 2.48591e-05 9.77712e-06
1207 2.98256e-05 1.2485e-05
1209 2.81659e-05 1.07543e-05
1211 1.99078e-05 7.8796e-06
1213 2.32092e-05 8.77663e-06
1215 3.15091e-05 9.87159e-06
1217 3.31936e-05 1.24123e-05
1219 4.98674e-05 1.36125e-05
1221 2.4924e-05 9.21281e-06
1223 2.99531e-05 1.00974e-05
1225 2.49379e-05 9.51871e-06
1227 3.1577e-05 9.8809e-06
1229 3.32866e-05 8.8143e-06
1231 4.32678e-05 1.36545e-05
1233 2.99615e-05 9.81667e-06
1235 4.82893e-05 1.25368e-05
1237 2.99732e-05 8.29081e-06
1239 3.99216e-05 1.66504e-05
1241 2.33285e-05 1.00033e-05
1243 3.0017e-05 9.82494e-06
1245 3.49939e-05 1.25292e-05
1247 2.66869e-05 9.6411e-06
1249 1.83628e-05 6.63462e-06
1251 1.83973e-05 6.65189e-06
1253 2.00342e-05 7.20151e-06
1255 2.66959e-05 8.40887e-06
1257 3.34507e-05 1.13427e-05
1259 3.84881e-05 1.00119e-05
1261 3.84532e-05 9.9988e-06
1263 3.18007e-05 9.67813e-06
1265 2.00744e-05 5.43621e-06
1267 2.34022e-05 7.83848e-06
1269 2.34151e-05 7.10018e-06
1271 2.33889e-05 8.51202e-06
1273 2.67137e-05 1.09937e-05
1275 1.00336e-05 3.97145e-06
1277 1.17371e-05 4.89504e-06
1279 8.38849e-06 5.50254e-06
1281 1.84383e-05 7.45641e-06
1283 2.01649e-05 7.2382e-06
1285 2.01272e-05 7.21612e-06
1287 2.68669e-05 8.12904e-06
1289 4.53321e-05 1.34032e-05
1291 3.19452e-05 1.00057e-05
1293 2.52123e-05 1.17423e-05
1295 2.01899e-05 5.46749e-06
1297 2.6908e-05 1.02896e-05
1299 2.35692e-05 1.11696e-05
1301 8.39702e-06 4.35925e-06
1303 1.34858e-05 5.6828e-06
1305 5.06332e-06 2.87914e-06
1307 1.0129e-05 4.00921e-06
1309 1.85572e-05 6.70171e-06
1311 1.51708e-05 6.3499e-06
1313 1.18214e-05 5.47375e-06
1315 1.85828e-05 6.27758e-06
1317 1.69082e-05 7.38075e-06
1319 2.87655e-05 1.31499e-05
1321 2.20196e-05 1.16688e-05
1323 1.69299e-05 7.76411e-06
1325 3.03971e-05 9.9595e-06
1327 3.04394e-05 9.37814e-06
1329 1.35085e-05 5.16144e-06
1331 1.69116e-05 5.61038e-06
1333 1.01187e-05 5.23455e-06
1335 2.37067e-05 8.96699e-06
1337 1.69925e-05 7.41007e-06
1339 2.54526e-05 8.44552e-06
1341 2.71685e-05 8.56864e-06
1343 2.37211e-05 7.19241e-06
1345 1.86884e-05 8.64257e-06
1347 1.52645e-05 5.40966e-06
1349 8.47319e-06 3.69339e-06
1351 1.3556e-05 6.19014e-06
1353 1.35912e-05 6.2072e-06
1355 1.35985e-05 5.72712e-06
1357 6.78547e-06 3.3242e-06
1359 1.01914e-05 4.69669e-06
1361 1.36229e-05 6.22618e-06
1363 1.02273e-05 6.2954e-06
1365 1.19046e-05 6.02256e-06
1367 1.53536e-05 6.43228e-06
1369 1.19046e-05 6.47373e-06
1371 1.70382e-05 6.14426e-06
1373 1.70325e-05 6.13965e-06
1375 1.8755e-05 7.58792e-06
1377 2.72215e-05 1.03996e-05
1379 1.02169e-05 4.04398e-06
1381 1.19469e-05 4.98166e-06
1383 1.53903e-05 6.88491e-06
1385 2.56578e-05 1.28914e-05
1387 1.53757e-05 6.86626e-06
1389 2.0538e-05 8.81849e-06
1391 1.53937e-05 5.46098e-06
1393 1.88454e-05 9.96607e-06
1395 1.37133e-05 8.97384e-06
1397 8.57255e-06 4.45615e-06
1399 1.37204e-05 6.26893e-06
1401 1.37216e-05 5.25007e-06
1403 2.40181e-05 8.41281e-06
1405 2.91218e-05 1.11099e-05
1407 2.5727e-05 9.5034e-06
1409 2.7451e-05 1.1308e-05
1411 1.88595e-05 6.81035e-06
1413 1.71645e-05 6.18973e-06
1415 2.74703e-05 9.32368e-06
1417 2.23271e-05 7.14567e-06
1419 3.43407e-05 1.45644e-05
1421 1.89049e-05 5.90391e-06
1423 2.06204e-05 6.55705e-06
1425 2.57724e-05 8.54527e-06
1427 8.59731e-06 4.47022e-06
1429 1.54844e-05 5.49424e-06
1431 1.89226e-05 5.90196e-06
1433 1.89126e-05 6.82933e-06
1435 2.06731e-05 7.01015e-06
1437 1.72248e-05 5.71151e-06
1439 2.071e-05 7.02222e-06
1441 1.8966e-05 5.92216e-06
1443 2.06946e-05 8.89548e-06
1445 1.72742e-05 8.64523e-06
1447 2.07166e-05 7.8324e-06
1449 3.28336e-05 1.02831e-05
1451 1.21034e-05 5.60714e-06
1453 1.73036e-05 6.7055e-06
1455 2.07143e-05 9.83821e-06
1457 1.21177e-05 5.05321e-06
1459 8.66227e-06 3.77581e-06
1461 3.4656e-06 3.44823e-06
1463 1.21381e-05 5.62638e-06
1465 1.21369e-05 5.6201e-06
1467 1.03958e-05 4.11479e-06
1469 1.21585e-05 8.93873e-06
1471 5.21649e-06 3.85408e-06
1473 1.38956e-05 6.34825e-06
1475 1.562e-05 6.06127e-06
1477 1.91158e-05 9.49982e-06
1479 2.4353e-05 1.10185e-05
1481 1.907e-05 6.88645e-06
1483 1.03968e-05 5.3801e-06
1485 1.38486e-05 9.04985e-06
1487 1.21556e-05 5.07153e-06
1489 6.95593e-06 4.20082e-06
1491 1.21628e-05 5.63382e-06
1493 1.56563e-05 8.19371e-06
1495 8.70872e-06 4.52388e-06
1497 1.04318e-05 5.39998e-06
1499 1.04306e-05 5.39575e-06
1501 6.98579e-06 4.22428e-06
1503 3.47404e-06 2.43183e-06
1505 5.23721e-06 2.97803e-06
1507 6.97486e-06 3.41701e-06
1509 8.76732e-06 5.74687e-06
1511 8.75703e-06 4.55332e-06
1513 8.73925e-06 4.53927e-06
1515 1.2256e-05 5.67789e-06
1517 1.04824e-05 4.83635e-06
1519 1.40076e-05 6.85528e-06
1521 1.22254e-05 7.50444e-06
1523 1.39605e-05 6.82994e-06
1525 8.71294e-06 6.22371e-06
1527 3.50089e-06 2.45066e-06
1529 8.73002e-06 5.16493e-06
1531 8.7644e-06 3.82035e-06
1533 5.27767e-06 3.00102e-06
1535 8.77055e-06 4.56399e-06
1537 8.7828e-06 4.56893e-06
1539 1.04963e-05 4.83568e-06
1541 1.227e-05 4.4724e-06
1543 1.57709e-05 6.60473e-06
1545 1.93439e-05 8.59397e-06
1547 2.46011e-05 9.95231e-06
1549 8.77842e-06 4.56207e-06
1551 8.79143e-06 4.56731e-06
1553 7.01079e-06 4.2347e-06
1555 8.76859e-06 4.55516e-06
1557 7.03308e-06 3.44552e-06
1559 1.77022e-06 1.76135e-06
1561 7.03054e-06 3.44426e-06
1563 8.81189e-06 3.84103e-06
1565 7.03804e-06 4.2486e-06
1567 5.29325e-06 3.00989e-06
1569 1.06002e-05 5.48907e-06
