#sequence_separation contact_probability stderr
597 5.40606e-05 4.42305e-06
599 5.83574e-05 5.10607e-06
601 5.81816e-05 5.24546e-06
603 6.01446e-05 4.68968e-06
605 5.15045e-05 4.29394e-06
607 5.71577e-05 4.66051e-06
609 5.22933e-05 4.59143e-06
611 5.52723e-05 4.61051e-06
613 5.32017e-05 3.84704e-06
615 5.00898e-05 3.891e-06
617 5.48219e-05 4.48827e-06
619 5.12841e-05 3.94523e-06
621 5.35284e-05 4.00878e-06
623 4.68426e-05 3.77406e-06
625 5.18238e-05 3.84482e-06
627 4.71988e-05 3.78005e-06
629 5.04926e-05 4.55723e-06
631 4.78478e-05 4.03275e-06
633 5.27606e-05 4.23898e-06
635 5.12713e-05 4.41786e-06
637 4.66146e-05 4.43767e-06
639 5.67504e-05 4.57261e-06
641 5.50336e-05 4.19279e-06
643 4.7383e-05 3.98031e-06
645 4.69295e-05 4.90956e-06
647 5.03911e-05 4.83689e-06
649 4.54869e-05 4.11007e-06
651 5.23021e-05 4.53871e-06
653 5.01062e-05 4.41202e-06
655 5.12752e-05 4.45785e-06
657 4.67018e-05 3.76342e-06
659 4.68063e-05 4.35003e-06
661 4.78774e-05 4.42281e-06
663 4.7258e-05 3.76598e-06
665 4.49899e-05 3.53988e-06
667 4.80119e-05 4.07585e-06
669 4.65755e-05 3.9595e-06
671 4.44539e-05 3.78308e-06
673 4.41689e-05 3.68021e-06
675 4.45128e-05 3.68137e-06
677 4.0955e-05 3.58563e-06
679 4.71719e-05 3.74741e-06
681 4.69236e-05 4.43123e-06
683 4.29434e-05 4.23791e-06
685 4.03683e-05 4.11146e-06
687 4.73104e-05 4.25425e-06
689 4.09984e-05 3.96088e-06
691 4.30588e-05 4.97077e-06
693 3.93361e-05 4.10874e-06
695 3.61863e-05 3.5366e-06
697 3.77535e-05 4.09777e-06
699 3.65217e-05 3.91614e-06
701 4.20141e-05 4.78347e-06
703 3.83513e-05 3.99693e-06
705 3.55551e-05 3.50608e-06
707 3.57677e-05 3.45e-06
709 3.95936e-05 4.10356e-06
711 4.3243e-05 4.48631e-06
713 3.79576e-05 3.5767e-06
715 3.79431e-05 3.50409e-06
717 4.27849e-05 3.88167e-06
719 3.91095e-05 4.05245e-06
721 4.06986e-05 4.00186e-06
723 3.76716e-05 3.53539e-06
725 3.45615e-05 3.65913e-06
727 4.54413e-05 4.05919e-06
729 4.23631e-05 4.169e-06
731 4.50375e-05 4.4828e-06
733 3.21856e-05 3.41059e-06
735 4.23984e-05 3.72828e-06
737 3.69188e-05 3.48636e-06
739 3.72174e-05 3.85559e-06
741 3.65253e-05 4.18955e-06
743 4.28995e-05 4.26058e-06
745 3.97116e-05 4.1093e-06
747 3.47844e-05 3.33895e-06
749 3.60598e-05 3.56067e-06
751 3.73294e-05 3.49773e-06
753 3.6363e-05 2.98815e-06
755 3.23272e-05 3.02616e-06
757 3.68901e-05 3.47708e-06
759 4.03799e-05 3.41605e-06
761 3.67445e-05 3.47224e-06
763 3.71165e-05 3.69798e-06
765 3.86859e-05 4.32876e-06
767 2.94424e-05 3.00436e-06
769 3.38142e-05 3.41398e-06
771 3.55058e-05 3.44892e-06
773 3.23046e-05 3.41762e-06
775 3.28951e-05 3.3519e-06
777 4.0209e-05 3.83988e-06
779 3.5311e-05 3.83282e-06
781 3.72635e-05 3.43136e-06
783 3.63723e-05 3.13652e-06
785 3.62273e-05 3.42392e-06
787 3.67067e-05 3.49209e-06
789 3.62747e-05 3.58163e-06
791 3.31927e-05 3.32351e-06
793 3.41919e-05 3.61459e-06
795 3.43313e-05 3.36676e-06
797 3.50119e-05 3.3333e-06
799 4.12806e-05 4.02327e-06
801 3.67067e-05 3.52394e-06
803 3.29329e-05 3.29217e-06
805 3.28453e-05 3.43775e-06
807 3.53015e-05 4.42479e-06
809 3.7094e-05 4.34956e-06
811 3.34207e-05 3.7714e-06
813 3.47969e-05 3.76631e-06
815 2.78707e-05 3.11201e-06
817 3.05465e-05 3.98447e-06
819 3.15681e-05 3.15938e-06
821 2.78594e-05 3.31609e-06
823 3.26231e-05 3.65255e-06
825 3.60697e-05 4.17068e-06
827 3.4504e-05 4.48419e-06
829 3.66357e-05 3.96942e-06
831 3.19293e-05 3.22859e-06
833 3.38397e-05 3.29506e-06
835 3.16142e-05 3.25136e-06
837 3.1041e-05 3.52594e-06
839 3.23685e-05 3.30976e-06
841 3.10725e-05 3.24872e-06
843 3.04644e-05 3.18046e-06
845 3.41998e-05 3.38703e-06
847 3.17252e-05 2.95804e-06
849 3.56116e-05 3.94916e-06
851 3.23132e-05 3.06205e-06
853 3.35439e-05 3.66899e-06
855 2.65368e-05 2.83726e-06
857 3.43221e-05 3.77335e-06
859 2.79787e-05 3.3634e-06
861 2.67489e-05 3.03904e-06
863 2.73102e-05 2.60621e-06
865 2.7805e-05 2.87665e-06
867 2.78226e-05 3.52811e-06
869 2.54829e-05 2.97999e-06
871 2.73549e-05 2.70548e-06
873 2.59246e-05 2.98521e-06
875 2.58314e-05 3.02546e-06
877 2.99494e-05 3.29806e-06
879 2.84232e-05 3.48465e-06
881 2.58478e-05 3.33459e-06
883 2.91801e-05 3.02138e-06
885 3.21586e-05 3.86498e-06
887 2.92086e-05 3.13058e-06
889 2.94109e-05 2.95757e-06
891 2.7999e-05 3.04507e-06
893 2.69991e-05 3.20823e-06
895 2.71945e-05 3.05654e-06
897 2.74075e-05 3.44936e-06
899 2.78593e-05 3.36971e-06
901 2.8557e-05 3.61976e-06
903 2.83144e-05 3.13861e-06
905 2.78567e-05 3.07564e-06
907 2.6186e-05 3.0196e-06
909 2.84125e-05 3.72649e-06
911 2.80274e-05 3.68222e-06
913 3.23501e-05 3.28346e-06
915 2.86643e-05 3.21012e-06
917 3.21868e-05 3.5539e-06
919 2.78493e-05 3.37029e-06
921 2.52041e-05 2.69525e-06
923 2.804e-05 3.10576e-06
